chinese,pinyin
领导还没讲完，他便提前离开了。,"Lǐngdǎo hái méi jiǎngwán, tā biàn tíqián líkāi le."
他看我心情不好，便陪我聊了半天。,"Tā kàn wǒ xīnqíng bù hǎo, biàn péi wǒ liáole bàntiān."
我写完作业便和朋友一起出去玩儿了。,Wǒ xiěwán zuòyè biàn hé péngyou yìqǐ chūqù wánr le.
晚餐我或是吃面条儿，或是喝粥。,"Wǎncān wǒ huòshì chī miàntiáor, huòshì hē zhōu."
假期他或是去海边度假，或是去爬山。,"Jiàqī tā huòshì qù hǎibiān dùjià, huòshì qù páshān."
一旦养成坏习惯，就很难改变。,"Yídàn yǎngchéng huài xíguàn, jiù hěn nán gǎibiàn."
孩子一旦发烧，就赶快送去医院。,"Háizi yídàn fāshāo, jiù gǎnkuài sòngqù yīyuàn."
假如他们也同意，我们就按照计划开展工作。,"Jiǎrú tāmen yě tóngyì, wǒmen jiù ànzhào jìhuà kāizhǎn gōngzuò."
假如有一天你当了校长，你会制定什么规则？,"Jiǎrú yǒu yì tiān nǐ dāngle xiàozhǎng, nǐ huì zhìdìng shénme guīzé?"
万一他不配合，我们就要想其他办法。,"Wànyī tā bú pèihé, wǒmen jiù yào xiǎng qítā bànfǎ."
万一失败了，你考虑过后果吗？,"Wànyī shībài le, nǐ kǎolǜguo hòuguǒ ma?"
公司需要敢想敢干的年轻人，要不然就很难有发展。,"Gōngsī xūyào gǎn xiǎng gǎn gàn de niánqīngrén, yàoburán jiù hěn nán yǒu fāzhǎn."
还好我反应快，不然孩子就摔倒了。,"Hái hǎo wǒ fǎnyìng kuài, bùrán háizi jiù shuāidǎo le."
她上课坚持认真听讲，因而成绩始终非常优秀。,"Tā shàng kè jiānchí rènzhēn tīngjiǎng, yīn'ér chéngjì shǐzhōng fēicháng yōuxiù."
我和他认识很多年了，因而很了解他的性格。,"Wǒ hé tā rènshi hěn duō nián le, yīn'ér hěn liǎojiě tā de xìnggé."
这个项目完成得如此顺利，可见团队的合作非常有效。,"Zhège xiàngmù wánchéng de rúcǐ shùnlì, kějiàn tuánduì de hézuò fēicháng yǒuxiào."
他每天都在图书馆学习，可见他对考试非常重视。,"Tā měitiān dōu zài túshūguǎn xuéxí, kějiàn tā duì kǎoshì fēicháng zhòngshì."
哪怕时间再紧张，也要按时完成任务。,"Nǎpà shíjiān zài jǐnzhāng, yě yào ànshí wánchéng rènwu."
哪怕租金继续提高，也仍然有很多人愿意住在这里。,"Nǎpà zūjīn jìxù tígāo, yě réngrán yǒu hěn duō rén yuànyì zhù zài zhèlǐ."
他不但不改正错误，反而继续犯更大的错误。,"Tā búdàn bù gǎizhèng cuòwù, fǎn'ér jìxù fàn gèng dà de cuòwù."
你这样做不但没有解决问题，反而增加了新问题。,"Nǐ zhèyàng zuò búdàn méiyǒu jiějué wèntí, fǎn'ér zēngjiāle xīn wèntí."
火不但没有灭，反而越来越大了。,"Huǒ búdàn méiyǒu miè, fǎn'ér yuèláiyuè dà le."
不是光有目标就可以，还要行动起来。,"Bú shì guāng yǒu mùbiāo jiù kěyǐ, hái yào xíngdòngqǐlai."
这个问题不是我一个人就能解决的，还是需要大家积极配合。,"Zhège wèntí bú shì wǒ yí ge rén jiù néng jiějué de, háishi xūyào dàjiā jījí pèihé."
他每天早起锻炼，为的是保持健康。,"Tā měitiān zǎo qǐ duànliàn, wèi de shì bǎochí jiànkāng."
她每天都练习中文，为的是将来能够来中国留学。,"Tā měitiān dōu liànxí Zhōngwén, wèi de shì jiānglái nénggòu lái Zhōngguó liúxué."
没有老师的努力付出就没有我们今天的成绩。,Méiyǒu lǎoshī de nǔlì fùchū jiù méiyǒu wǒmen jīntiān de chéngjì.
没有汗水就没有收获。,Méiyǒu hànshuǐ jiù méiyǒu shōuhuò.
不尝不知道，这种水果的味道果然很独特。,"Bù cháng bù zhīdao, zhè zhǒng shuǐguǒ de wèidao guǒrán hěn dútè."
毛病虽然不大，但还是应该修理一下，不修不安全。,"Máobìng suīrán bú dà, dàn háishi yīnggāi xiūlǐ yíxià, bù xiū bù ānquán."
这首歌再听多少遍也不会烦。,Zhè shǒu gē zài tīng duōshao biàn yě bú huì fán.
困难再大也要坚持下去。,Kùnnan zài dà yě yào jiānchíxiàqu.
没想到他竟然超水平发挥，最终赢得了这场比赛。,"Méi xiǎngdào tā jìngrán chāoshuǐpíng fāhuī, zuìzhōng yíngdéle zhè chǎng bǐsài."
这位演员的表演总能展现出多层次的人物心理。,Zhè wèi yǎnyuán de biǎoyǎn zǒng néng zhǎnxiànchū duō céngcì de rénwù xīnlǐ.
父母过分关注孩子的一举一动，会对孩子的成长起到反作用。,"Fùmǔ guòfèn guānzhù háizi de yìjǔyídòng, huì duì háizi de chéngzhǎng qǐdào fǎnzuòyòng."
公司所有电脑系统都经过了严格的安全检查，确保无病毒运行。,"Gōngsī suǒyǒu diànnǎo xìtǒng dōu jīngguòle yángé de ānquán jiǎnchá, quèbǎo wúbìngdú yùnxíng."
新开发的商业区已经成为了城市亚中心，发展潜力巨大。,"Xīn kāifā de shāngyèqū yǐjīng chéngwéile chéngshì yàzhōngxīn, fāzhǎn qiánlì jùdà."
小张和女朋友小李已经订婚了，小李现在是张家的准媳妇。,"Xiǎo Zhāng hé nǚpéngyou Xiǎo Lǐ yǐjīng dìnghūn le, Xiǎo Lǐ xiànzài shì Zhāng jiā de zhǔnxífù."
随着科技的发展，人们迎来了数字化时代。,"Suízhe kējì de fāzhǎn, rénmen yíngláile shùzìhuà shídài."
本课程采用专题式的教学方法，每课介绍一个专题。,"Běn kèchéng cǎiyòng zhuāntíshì de jiàoxué fāngfǎ, měi kè jièshào yí ge zhuāntí."
这种鱼是观赏型的，很多人把它们当做宠物。,"Zhè zhǒng yú shì guānshǎngxíng de, hěn duō rén bǎ tāmen dàngzuò chǒngwù."
这款产品具备很好的便捷性，使用十分方便。,"Zhè kuǎn chǎnpǐn jùbèi hěn hǎo de biànjiéxìng, shǐyòng shífēn fāngbiàn."
这是人家的东西，咱们不能随便拿。,"Zhè shì rénjia de dōngxi, zánmen bù néng suíbiàn ná."
今天多亏了老张来帮忙，我们得好好感谢人家。,"Jīntiān duōkuīle Lǎo Zhāng lái bāngmáng, wǒmen děi hǎohǎo gǎnxiè rénjia."
这串项链是丈夫送给我的订婚礼物。,Zhè chuàn xiàngliàn shì zhàngfu sònggěi wǒ de dìnghūn lǐwù.
你试试往碗里加几滴醋，说不定味道会更好。,"Nǐ shìshi wǎng wǎn lǐ jiā jǐ dī cù, shuōbudìng wèidao huì gèng hǎo."
下班回家的路上，妈妈买了几枝玫瑰花。,"Xià bān huí jiā de lùshang, māma mǎile jǐ zhī méiguīhuā."
听了他的话，我心里就像打开了一扇窗，突然亮了。,"Tīngle tā de huà, wǒ xīnli jiù xiàng dǎkāile yí shàn chuāng, tūrán liàng le."
你把桌子上那卷胶带递给我一下。,Nǐ bǎ zhuōzi shàng nà juǎn jiāodài dì gěi wǒ yí xià.
这套书分为上、中、下三卷。,"Zhè tào shū fēnwéi shàng, zhōng, xià sān juàn."
经过一番激烈的争论，我们最终达成了一致。,"Jīngguò yì fān jīliè de zhēnglùn, wǒmen zuìzhōng dáchéngle yízhì."
听说我获得了奖学金，同学们都特羡慕。,"Tīngshuō wǒ huòdéle jiǎngxuéjīn, tóngxuémen dōu tè xiànmù."
相声是一种幽默的艺术，特有意思。,"Xiàngsheng shì yì zhǒng yōumò de yìshù, tè yǒuyìsi."
改进后的仪器操作异常便捷。,Gǎijìn hòu de yíqì cāozuò yìcháng biànjié.
今年夏天异常炎热。,Jīnnián xiàtiān yìcháng yánrè.
这本小说较为客观地反映了当时的社会现实。,Zhè běn xiǎoshuō jiàowéi kèguān de fǎnyìngle dāngshí de shèhuì xiànshí.
专家们一致认为这项研究的设计较为合理。,Zhuānjiāmen yízhì rènwéi zhè xiàng yánjiū de shèjì jiàowéi hélǐ.
我们净忙着说话，甚至忘了给客人倒茶。,"Wǒmen jìng mángzhe shuōhuà, shènzhì wàngle gěi kèrén dào chá."
那位老师的书房里净是外文书。,Nà wèi lǎoshī de shūfáng lǐ jìng shì wàiwén shū.
我明天在大厅等你，咱们一同出发。,"Wǒ míngtiān zài dàtīng děng nǐ, zánmen yìtóng chūfā."
人们聚集在广场上，一同迎接新年的到来。,"Rénmen jùjí zài guǎngchǎng shàng, yìtóng yíngjiē xīnnián de dàolái."
公园里散步的老年人大都是附近的居民。,Gōngyuán lǐ sànbù de lǎoniánrén dàdōu shì fùjìn de jūmín.
假期时，这里的人们大都选择去海边度假。,"Jiàqī shí, zhèlǐ de rénmen dàdōu xuǎnzé qù hǎibiān dùjià."
他一时紧张，忘记要说什么了。,"Tā yìshí jǐnzhāng, wàngjì yào shuō shénme le."
面对眼前的比赛结果，人们一时难以接受。,"Miànduì yǎnqián de bǐsài jiéguǒ, rénmen yìshí nányǐ jiēshòu."
她不时看看手机，等待着朋友的消息。,"Tā bùshí kànkan shǒujī, děngdàizhe péngyou de xiāoxi."
隔壁房间不时传来一阵笑声。,Gébì fángjiān bùshí chuánlái yí zhèn xiàoshēng.
实验失败了，但他们没有放弃，仍旧坚持干下去。,"Shíyàn shībài le, dàn tāmen méiyǒu fàngqì, réngjiù jiānchí gànxiàqu."
他很努力地练习发音，但仍旧说得不太标准。,"Tā hěn nǔlì de liànxí fāyīn, dàn réngjiù shuō de bú tài biāozhǔn."
他们带着孩子又跑了几家医院，但依旧没有得到明确的诊断。,"Tāmen dàizhe háizi yòu pǎole jǐ jiā yīyuàn, dàn yījiù méiyǒu dédào míngquè de zhěnduàn."
二十多年过去了，她依旧那么美丽动人。,"Èrshí duō nián guòqù le, tā yījiù nàme měilì dòngrén."
作为老师，她一向严格要求自己的学生。,"Zuòwéi lǎoshī, tā yíxiàng yángé yāoqiú zìjǐ de xuésheng."
他一向喜欢跟朋友开玩笑。,Tā yīxiàng xǐhuan gēn péngyou kāi wánxiào.
出发前老师一再提醒大家带上护照，可我还是忘了。,"Chūfā qián lǎoshī yízài tíxǐng dàjiā dàishàng hùzhào, kě wǒ háishi wàng le."
王经理一再强调这个项目对于公司至关重要。,Wáng jīnglǐ yízài qiángdiào zhège xiàngmù duìyú gōngsī zhìguān zhòngyào.
他再三考虑要不要放弃工作的机会。,Tā zàisān kǎolǜ yào bu yào fàngqì gōngzuò de jīhuì.
小张再三向领导解释他上班迟到的原因。,Xiǎo Zhāng zàisān xiàng lǐngdǎo jiěshì tā shàng bān chídào de yuányīn.
听到这可怕的消息，我的心不禁凉了。,"Tīngdào zhè kěpà de xiāoxi, wǒ de xīn bùjīn liáng le."
听完她的演讲，大家不禁鼓起掌来。,"Tīngwán tā de yǎnjiǎng, dàjiā bùjīn gǔqǐ zhǎng lái."
上课铃一响，学生们就赶忙跑回了教室。,"Shàng kè líng yì xiǎng, xuéshengmen jiù gǎnmáng pǎohuíle jiàoshì."
听到有人求助，他赶忙过去帮忙。,"Tīngdào yǒu rén qiúzhù, tā gǎnmáng guòqù bāngmáng."
回国当天，朋友特地开车把我送到了机场。,"Huí guó dàng tiān, péngyou tèdì kāi chē bǎ wǒ sòngdàole jīchǎng."
为了掌握实际情况，政府特地组织专家团队到当地开展调查。,"Wèile zhǎngwò shíjì qíngkuàng, zhèngfǔ tèdì zǔzhī zhuānjiā tuánduì dào dāngdì kāizhǎn diàochá."
这些书是我特意请朋友从国外买回来的。,Zhèxiē shū shì wǒ tèyì qǐng péngyou cóng guówài mǎihuílai de.
我特意为您准备了一份礼物，请您一定收下。,"Wǒ tèyì wèi nín zhǔnbèile yí fèn lǐwù, qǐng nín yídìng shōuxià."
小女孩偷偷把糖装进了口袋。,Xiǎo nǚhái tōutōu bǎ táng zhuāngjìnle kǒudài.
他偷偷把那件事告诉了老师。,Tā tōutōu bǎ nà jiàn shì gàosule lǎoshī.
她最近工作很忙，未必有时间回老家。,"Tā zuìjìn gōngzuò hěn máng, wèibì yǒu shíjiān huí lǎojiā."
有钱就一定会幸福吗？那也未必。,Yǒu qián jiù yídìng huì xìngfú ma? Nà yě wèibì.
婚礼那天恰好是新娘的生日。,Hūnlǐ nà tiān qiàhǎo shì xīnniáng de shēngrì.
下周六我恰好有时间，咱们可以一起去爬山。,"Xià zhōuliù wǒ qiàhǎo yǒu shíjiān, zánmen kěyǐ yìqǐ qù páshān."
你计划得倒是很好，可是你能做到吗？,"Nǐ jìhuà de dàoshi hěn hǎo, kěshì nǐ néng zuòdào ma?"
这部漫画的内容一般，绘画风格倒是生动有趣。,"Zhè bù mànhuà de nèiróng yìbān, huìhuà fēnggé dàoshi shēngdòng yǒuqù."
既然双方不愿意合作，干脆就不要浪费时间再谈了。,"Jìrán shuāngfāng bú yuànyì hézuò, gāncuì jiù bú yào làngfèi shíjiān zài tán le."
你今天这么累，干脆早点休息，明天再工作吧！,"Nǐ jīntiān zhème lèi, gāncuì zǎodiǎn xiūxi, míngtiān zài gōngzuò ba!"
你明明不胖，为什么总嫌自己胖呢？,"Nǐ míngmíng bú pàng, wèishénme zǒng xián zìjǐ pàng ne?"
明明是他做错了事，凭什么让我向他道歉？,"Míngmíng shì tā zuòcuòle shì, píng shénme ràng wǒ xiàng tā dàoqiàn?"
我们在路边等了很久，总算有位好心的司机让我们搭车回到了学校。,"Wǒmen zài lùbiān děngle hěn jiǔ, zǒngsuàn yǒu wèi hǎoxīn de sījī ràng wǒmen dā chē huídàole xuéxiào."
连着下了一周小雨，今天总算迎来了一个晴天。,"Liánzhe xiàle yì zhōu xiǎoyǔ, jīntiān zǒngsuàn yíngláile yí ge qíngtiān."
这所学校成立于1950年。,Zhè suǒ xuéxiào chénglì yú yī jiǔ wǔ líng nián.
他已于上月离京。,Tā yǐ yú shàng yuè lí Jīng.
刚来中国时，我既听不懂也说不清楚，至于写作和阅读，就更不行了。,"Gāng lái Zhōngguó shí, wǒ jì tīngbudǒng yě shuōbuqīngchu, zhìyú xiězuò hé yuèdú, jiù gèng bùxíng le."
新产品已经开始生产了，至于销售时间和价格，现在还不能确定。,"Xīn chǎnpǐn yǐjīng kāishǐ shēngchǎn le, zhìyú xiāoshòu shíjiān hé jiàgé, xiànzài hái bù néng quèdìng."
因天气原因，运动会延期至周六举行。,"Yīn tiānqì yuányīn, yùndònghuì yánqī zhì zhōuliù jǔxíng."
他因迟到而错过了这次面试。,Tā yīn chídào ér cuòguòle zhè cì miànshì.
除特殊情况外，不得随意离开工作岗位。,"Chú tèshū qíngkuàng wài, bùdé suíyì líkāi gōngzuò gǎngwèi."
除申请表以外，申请人还应提交一份个人简历。,"Chú shēnqǐngbiǎo yǐwài, shēnqǐngrén hái yīng tíjiāo yí fèn gèrén jiǎnlì."
我本来打算在房间看书，不料突然停电了，我只好去图书馆。,"Wǒ běnlái dǎsuàn zài fángjiān kàn shū, búliào tūrán tíngdiàn le, wǒ zhǐhǎo qù túshūguǎn."
我以为两个孩子能一起好好玩儿，不料他俩刚一见面就吵起来了。,"Wǒ yǐwéi liǎng ge háizi néng yìqǐ hǎohǎo wánr, búliào tā liǎ gāng yí jiànmiàn jiù chǎoqǐlai le."
这部电影是根据人们所熟悉的故事改编的。,Zhè bù diànyǐng shì gēnjù rénmen suǒ shúxī de gùshi gǎibiān de.
你所了解的情况只是一小部分。,Nǐ suǒ liǎojiě de qíngkuàng zhǐshì yì xiǎo bùfen.
我昨天就已经把作业交给老师啦！,Wǒ zuótiān jiù yǐjīng bǎ zuòyè jiāogěi lǎoshī la!
这些文件对于公司至关重要，你可千万别弄丢啦！,"Zhèxiē wénjiàn duìyú gōngsī zhìguān zhòngyào, nǐ kě qiānwàn bié nòngdiū la!"
我只是开个玩笑，你不要太认真嘛。,"Wǒ zhǐshì kāi ge wánxiào, nǐ bú yào tài rènzhēn ma."
要是觉得累了，就走慢一点儿嘛。,"Yàoshi juéde lèi le, jiù zǒu màn yìdiǎnr ma."
孩子们假期不回来也好，我可以好好休息休息了。,"Háizimen jiàqī bù huílái yě hǎo, wǒ kěyǐ hǎohǎo xiūxi xiūxi le."
手机也好，电脑也好，长时间使用都会造成眼睛疲劳。,"Shǒujī yě hǎo, diànnǎo yě hǎo, cháng shíjiān shǐyòng dōu huì zàochéng yǎnjing píláo."
小孩子总是喜欢拉着父母问这问那。,Xiǎoháizi zǒngshì xǐhuan lāzhe fùmǔ wèn zhè wèn nà.
既然决定了就大胆去做吧，不要总是想这想那。,"Jìrán juédìngle jiù dàdǎn qù zuò ba, bú yào zǒngshì xiǎng zhè xiǎng nà."
天还没亮，他就醒了，躺在床上左思右想，怎么也睡不着。,"Tiān hái méi liàng, tā jiù xǐng le, tǎng zài chuáng shàng zuǒsīyòuxiǎng, zěnme yě shuìbuzháo."
她在商场里左挑右选，始终没买到一件满意的衣服。,"Tā zài shāngchǎng lǐ zuǒtiāoyòuxuǎn, shǐzhōng méi mǎidào yí jiàn mǎnyì de yīfu."
我好不容易才获得这次面试机会，一定不会轻易放弃。,"Wǒ hǎobùróngyì cái huòdé zhè cì miànshì jīhuì, yídìng bú huì qīngyì fàngqì."
假期好不容易可以休息一下，你怎么还要去公司加班？,"Jiàqī hǎobùróngyì kěyǐ xiūxi yí xià, nǐ zěnme hái yào qù gōngsī jiābān?"
假如去那家公司工作能为你提供更多的发展空间，那倒也是个不错的选择。,"Jiǎrú qù nà jiā gōngsī gōngzuò néng wèi nǐ tígōng gèng duō de fāzhǎn kōngjiān, nà dào yě shì ge búcuò de xuǎnzé."
要是你能从失败中吸取教训，那倒也是件值得高兴的事。,"Yàoshi nǐ néng cóng shībài zhōng xīqǔ jiàoxùn, nà dào yě shì jiàn zhíde gāoxìng de shì."
这些旧衣服扔掉算了，反正也不会再穿了。,"Zhèxiē jiù yīfu rēngdiào suàn le, fǎnzhèng yě bú huì zài chuān le."
雪下得这么大，估计不会有客人来了，干脆早点儿关门算了。,"Xuě xià de zhème dà, gūjì bú huì yǒu kèrén lái le, gāncuì zǎodiǎnr guānmén suàn le."
得了，别再想了，结果不可能改变了。,"Déle, bié zài xiǎng le, jiéguǒ bù kěnéng gǎibiàn le."
你这么喜欢这本书，干脆送给你得了。,"Nǐ zhème xǐhuan zhè běn shū, gāncuì sònggěi nǐ déle."
我们左一句、右一句地安慰，她才终于不哭了。,"Wǒmen zuǒ yí jù, yòu yí jù de ānwèi, tā cái zhōngyú bù kū le."
大家你一言，我一语，很快就商量出了解决的办法。,"Dàjiā nǐ yì yán, wǒ yì yǔ, hěn kuài jiù shāngliangchūle jiějué de bànfǎ."
房间里的衣服东一件，西一件，扔得哪儿都是。,"Fángjiān lǐ de yīfu dōng yí jiàn, xī yí jiàn, rēng de nǎr dōu shì."
最近他东一本，西一本地看了不少书。,"Zuìjìn tā dōng yì běn, xī yì běn de kànle bù shǎo shū."
到目前为止，双方已经达成了初步的合作。,"Dào mùqián wéizhǐ, shuāngfāng yǐjīng dáchéngle chūbù de hézuò."
他把产品设计改了很多遍，一直到客户满意为止。,"Tā bǎ chǎnpǐn shèjì gǎile hěn duō biàn, yìzhí dào kèhù mǎnyì wéizhǐ."
我把你当作好朋友，没想到你竟然骗到我头上来了。,"Wǒ bǎ nǐ dàngzuò hǎo péngyou, méi xiǎngdào nǐ jìngrán piàndào wǒ tóu shàng lái le."
问题不是我造成的，怎么怪到我头上来了？,"Wèntí bú shì wǒ zàochéng de, zěnme guàidào wǒ tóu shàng lái le?"
不学不知道，一学才知道汉字如此有魅力。,"Bù xué bù zhīdao, yì xué cái zhīdao hànzì rúcǐ yǒu mèilì."
这茶不尝不知道，一尝就喜欢上了。,"Zhè chá bù cháng bù zhīdao, yì cháng jiù xǐhuanshàng le."
好你个老张，原来是你在背后说我坏话！,"Hǎo nǐ ge Lǎo Zhāng, yuánlái shì nǐ zài bèihòu shuō wǒ huàihuà!"
好你个骗子，赶紧把钱还给我，否则我就报警。,"Hǎo nǐ ge piànzi, gǎnjǐn bǎ qián huán gěi wǒ, fǒuzé wǒ jiù bàojǐng."
早不来，晚不来，我正要出门你来了。,"Zǎo bù lái, wǎn bù lái, wǒ zhèng yào chūmén nǐ lái le."
早也不下雨，晚也不下雨，比赛刚一开始就下起来了。,"Zǎo yě bú xià yǔ, wǎn yě bú xià yǔ, bǐsài gāng yì kāishǐ jiù xiàqǐlai le."
瞧把他兴奋得，简直像个孩子一样。,"Qiáo bǎ tā xīngfèn de, jiǎnzhí xiàng ge háizi yíyàng."
看把你笑得，腰都直不起来了。,"Kàn bǎ nǐ xiào de, yāo dōu zhí bu qǐlái le."
你为什么放着自己的车不开，跑去借别人的车？,"Nǐ wèishénme fàngzhe zìjǐ de chē bù kāi, pǎo qù jiè biéren de chē?"
他放着孩子不管，整天跑出去玩儿。,"Tā fàngzhe háizi bù guǎn, zhěngtiān pǎochūqu wánr."
他已经是大人了，走了就走了，有什么好担心的？,"Tā yǐjīng shì dàrén le, zǒu le jiù zǒu le, yǒu shénme hǎo dānxīn de?"
东西丢了就丢了，没有什么好可惜的。,"Dōngxi diū le jiù diū le, méiyǒu shénme hǎo kěxī de."
这也不好吃，那也不好吃，你干脆饿着吧。,"Zhè yě bù hǎochī, nà yě bù hǎochī, nǐ gāncuì èzhe ba."
那也不喜欢，这也不满意，你到底想找什么样的工作？,"Nà yě bù xǐhuan, zhè yě bù mǎnyì, nǐ dàodǐ xiǎng zhǎo shénmeyàng de gōngzuò?"
打归打，骂归骂，父母永远是最疼你的人。,"Dǎ guī dǎ, mà guī mà, fùmǔ yǒngyuǎn shì zuì téng nǐ de rén."
计划归计划，行动归行动，二者并不完全一样。,"Jìhuà guī jìhuà, xíngdòng guī xíngdòng, èrzhě bìng bù wánquán yíyàng."
我跟你开玩笑呢！看你吓的！,Wǒ gēn nǐ kāi wánxiào ne! Kàn nǐ xià de!
不就是得了奖学金吗？瞧他得意的！,Bú jiùshì déle jiǎngxuéjīn ma? Qiáo tā déyì de!
我恨透了那些不诚信的商家。,Wǒ hèntòule nàxiē bù chéngxìn de shāngjiā.
大雨把他身上的衣服全都淋透了。,Dàyǔ bǎ tā shēn shàng de yīfu quán dōu líntòu le.
阳光把大地染成了红色。,Yángguāng bǎ dàdì rǎnchéngle hóngsè.
音乐声把游客都吸引过去了。,Yīnyuèshēng bǎ yóukè dōu xīyǐn guòqù le.
孩子把妈妈气得睡不着觉。,Háizi bǎ māma qì de shuì bu zháo jiào.
她讲述的故事把大家感动哭了。,Tā jiǎngshù de gùshi bǎ dàjiā gǎndòng kū le.
最近产品价格不太稳定，一时上升一时下降。,"Zuìjìn chǎnpǐn jiàgé bú tài wěndìng, yìshí shàngshēng yìshí xiàjiàng."
这段时间天气变化快，一时冷一时热。,"Zhè duàn shíjiān tiānqì biànhuà kuài, yìshí lěng yìshí rè."
我平常要么点外卖，要么自己做，很少去食堂吃。,"Wǒ píngcháng yàome diǎn wàimài, yàome zìjǐ zuò, hěn shǎo qù shítáng chī."
那家饭馆的菜要么太咸，要么太辣，我都不爱吃。,"Nà jiā fànguǎn de cài yàome tài xián, yàome tài là, wǒ dōu bú ài chī."
比赛虽未取得胜利，但我们收获了宝贵的经验。,"Bǐsài suī wèi qǔdé shènglì, dàn wǒmen shōuhuòle bǎoguì de jīngyàn."
这道题虽有难度，可做出来的同学不在少数。,"Zhè dào tí suī yǒu nándù, kě zuòchūlai de tóngxué bú zài shǎoshù."
文章虽短，读后却使人充满力量。,"Wénzhāng suī duǎn, dú hòu què shǐ rén chōngmǎn lìliang."
她心里虽不喜欢，也坚持来上班了。,"Tā xīnli suī bù xǐhuan, yě jiānchí lái shàng bān le."
凡是有机会，他都会积极争取。,"Fánshì yǒu jīhuì, tā dōu huì jījí zhēngqǔ."
凡是错误的行为，我们都应该纠正。,"Fánshì cuòwù de xíngwéi, wǒmen dōu yīnggāi jiūzhèng."
除非你亲自邀请，他才有可能同意参加。,"Chúfēi nǐ qīnzì yāoqǐng, tā cái yǒu kěnéng tóngyì cānjiā."
除非是紧急情况，我才会向他求助。,"Chúfēi shì jǐnjí qíngkuàng, wǒ cái huì xiàng tā qiúzhù."
除非他承认错误并向我道歉，否则我不会原谅他。,"Chúfēi tā chéngrèn cuòwù bìng xiàng wǒ dàoqiàn, fǒuzé wǒ bú huì yuánliàng tā."
除非你说清楚是什么事情，不然我不可能同意帮忙。,"Chúfēi nǐ shuō qīngchu shì shénme shìqing, bùrán wǒ bù kěnéng tóngyì bāngmáng."
就算再累，我也要坚持完成任务。,"Jiùsuàn zài lèi, wǒ yě yào jiānchí wánchéng rènwu."
就算他做错了，你也要注意教育方法。,"Jiùsuàn tā zuòcuò le, nǐ yě yào zhùyì jiàoyù fāngfǎ."
请留下您的联系方式，以便日后联系。,"Qǐng liúxià nín de liánxì fāngshì, yǐbiàn rìhòu liánxì."
当地政府计划调整地铁的发车时间，以便更多的乘客能够乘坐公共交通。,"Dāngdì zhèngfǔ jìhuà tiáozhěng dìtiě de fāchē shíjiān, yǐbiàn gèng duō de chéngkè nénggòu chéngzuò gōnggòng jiāotōng."
奥运场馆开工之前，就要考虑到后奥运时代的需求。,"Àoyùn chǎngguǎn kāigōng zhīqián, jiù yào kǎolǜ dào hòu Àoyùn shídài de xūqiú."
市长对老人们嘘寒问暖，并亲手将慰问品送到老人手中。,"Shìzhǎng duì lǎorénmen xūhánwènnuǎn, bìng qīnshǒu jiāng wèiwènpǐn sòngdào lǎorén shǒuzhōng."
新时代农民的价值观、消费观、审美观都和以往有了很大的不同。,"Xīn shídài nóngmín de jiàzhíguān, xiāofèiguān, shěnměiguān dōu hé yǐwǎng yǒule hěn dà de bùtóng."
只给孩子花钱却不花时间陪伴孩子的家长同样是小气鬼。,Zhǐ gěi háizi huā qián què bù huā shíjiān péibàn háizi de jiāzhǎng tóngyàng shì xiǎoqìguǐ.
我的导师在学术界和产业界都享有崇高的声望。,Wǒ de dǎoshī zài xuéshùjiè hé chǎnyèjiè dōu xiǎngyǒu chónggāo de shēngwàng.
经过七个小时的飞行，我终于在异国安然落地。,"Jīngguò qī ge xiǎoshí de fēixíng, wǒ zhōngyú zài yìguó ānrán luòdì."
今年的“体坛风云人物”颁奖仪式特别隆重。,"Jīnnián de ""tǐtán fēngyún rénwù"" bānjiǎng yíshì tèbié lóngzhòng."
本公司的产品多年来广为消费者称赞。,Běn gōngsī de chǎnpǐn duō nián lái guǎngwéi xiāofèizhě chēngzàn.
"以公有制为主体、多种所有制经济共同发展,是中国现阶段的基本经济制度。","Yǐ gōngyǒuzhì wéi zhǔtǐ, duō zhǒng suǒyǒuzhì jīngjì gòngtóng fāzhǎn, shì Zhōngguó xiàn jiēduàn de jīběn jīngjì zhìdù."
他巴不得早点儿退休，好能到处游山玩水。,"Tā bābude zǎodiǎnr tuìxiū, hǎo néng dàochù yóushānwánshuǐ."
在外漂泊多年的游子归心似箭，巴不得一步跨进家门。,"Zài wài piāobó duō nián de yóuzǐ guīxīnsìjiàn, bābude yí bù kuàjìn jiāmén."
一种艺术风格的形成并非一蹴而就，必须经历一个渐进发展的过程。,"Yì zhǒng yìshù fēnggé de xíngchéng bìngfēi yícù'érjiù, bìxū jīnglì yí ge jiànjìn fāzhǎn de guòchéng."
你之所以落选，并非你不优秀，而是你的风格和他们的需求不完全匹配。,"Nǐ zhī suǒyǐ luòxuǎn, bìngfēi nǐ bù yōuxiù, érshì nǐ de fēnggé hé tāmen de xūqiú bù wánquán pǐpèi."
八折优惠仅限周一至周五使用，法定节假日除外。,"Bā zhé yōuhuì jǐn xiàn zhōuyī zhì zhōuwǔ shǐyòng, fǎdìng jiéjiàrì chúwài."
在场各位皆是西装革履，只有一人除外，穿着十分随意。,"Zàichǎng gèwèi jiē shì xīzhuānggélǚ, zhǐyǒu yì rén chúwài, chuānzhuó shífēn suíyì."
