chinese,english
还好我反应快，不然孩子就摔倒了。,"It's a good thing I reacted quickly, otherwise the child would have fallen over."
她上课坚持认真听讲，因而成绩始终非常优秀。,"She always pays close attention in class, which is why her marks have consistently been excellent."
我和他认识很多年了，因而很了解他的性格。,"I've known him for many years, so I know his character very well."
这个项目完成得如此顺利，可见团队的合作非常有效。,The fact that this project went so smoothly is a testament to the team's highly effective collaboration.
他每天都在图书馆学习，可见他对考试非常重视。,"He studies in the library every day, which shows just how seriously he takes his exams."
哪怕时间再紧张，也要按时完成任务。,"No matter how tight the deadline, you must complete the task on time."
哪怕租金继续提高，也仍然有很多人愿意住在这里。,"Even if the rent continues to rise, there are still plenty of people who are happy to live here."
他不但不改正错误，反而继续犯更大的错误。,"Not only did he fail to correct his mistakes, but he went on to make even bigger ones."
你这样做不但没有解决问题，反而增加了新问题。,"Not only has your approach failed to resolve the issue, but it has actually created new problems."
火不但没有灭，反而越来越大了。,"Far from being extinguished, the fire grew ever larger."
不是光有目标就可以，还要行动起来。,It's not enough just to have goals; you have to take action.
这个问题不是我一个人就能解决的，还是需要大家积极配合。,This is not a problem I can solve on my own; it requires everyone's active cooperation.
他每天早起锻炼，为的是保持健康。,"He gets up early every day to exercise, in order to stay healthy."
她每天都练习中文，为的是将来能够来中国留学。,She practises Chinese every day so that she can study in China in the future.
没有老师的努力付出就没有我们今天的成绩。,"Without the hard work of our teachers, we would not have achieved what we have today."
没有汗水就没有收获。,"No pain, no gain."
不尝不知道，这种水果的味道果然很独特。,You never know until you've tried it – this fruit really does have a very distinctive flavour.
毛病虽然不大，但还是应该修理一下，不修不安全。,"Although it's not a major fault, it should still be repaired; it's not safe to leave it as it is."
这首歌再听多少遍也不会烦。,I could listen to this song over and over again without ever getting tired of it.
困难再大也要坚持下去。,"No matter how difficult things get, we must persevere."
没想到他竟然超水平发挥，最终赢得了这场比赛。,I never expected him to perform so well beyond his usual standard and ultimately win the match.
这位演员的表演总能展现出多层次的人物心理。,This actor's performances always manage to convey the complex inner workings of a character's mind.
父母过分关注孩子的一举一动，会对孩子的成长起到反作用。,"If parents pay excessive attention to their children's every move, it can have a detrimental effect on their development."
公司所有电脑系统都经过了严格的安全检查，确保无病毒运行。,All of the company's computer systems have undergone rigorous security checks to ensure they are virus-free.
新开发的商业区已经成为了城市亚中心，发展潜力巨大。,The newly developed commercial district has become a sub-centre of the city and offers enormous potential for growth.
小张和女朋友小李已经订婚了，小李现在是张家的准媳妇。,"Xiao Zhang and his girlfriend, Xiao Li, are now engaged, and Xiao Li is now set to become a member of the Zhang family."
随着科技的发展，人们迎来了数字化时代。,"With the advancement of technology, we have entered the digital age."
本课程采用专题式的教学方法，每课介绍一个专题。,"This course adopts a thematic approach, with each lesson covering a specific topic."
这种鱼是观赏型的，很多人把它们当做宠物。,"This fish is an ornamental species, and many people keep them as pets."
这款产品具备很好的便捷性，使用十分方便。,This product is very user-friendly and easy to use.
这是人家的东西，咱们不能随便拿。,That belongs to someone else; we mustn't just take it.
今天多亏了老张来帮忙，我们得好好感谢人家。,We really owe Old Zhang a big thank you for coming to help us today.
这串项链是丈夫送给我的订婚礼物。,This necklace was an engagement present from my husband.
你试试往碗里加几滴醋，说不定味道会更好。,Why not try adding a few drops of vinegar to the bowl? It might actually taste better.
下班回家的路上，妈妈买了几枝玫瑰花。,"On her way home from work, Mum bought a few roses."
听了他的话，我心里就像打开了一扇窗，突然亮了。,"Hearing his words, it was as if a window had opened in my heart, and everything suddenly became clear."
你把桌子上那卷胶带递给我一下。,"Could you pass me that roll of tape on the table, please?"
这套书分为上、中、下三卷。,"This series is divided into three volumes: Volume 1, Volume 2 and Volume 3."
经过一番激烈的争论，我们最终达成了一致。,"After a heated debate, we finally reached an agreement."
听说我获得了奖学金，同学们都特羡慕。,"When my classmates heard I'd won a scholarship, they were all really envious."
相声是一种幽默的艺术，特有意思。,Crosstalk is a humorous art form; it's particularly entertaining.
改进后的仪器操作异常便捷。,The improved instrument is exceptionally easy to operate.
今年夏天异常炎热。,This summer has been unusually hot.
这本小说较为客观地反映了当时的社会现实。,This novel provides a relatively objective portrayal of the social realities of the time.
专家们一致认为这项研究的设计较为合理。,Experts unanimously agree that the study was well-designed.
我们净忙着说话，甚至忘了给客人倒茶。,We were so caught up in our conversation that we even forgot to pour tea for our guests.
那位老师的书房里净是外文书。,That teacher's study was full of books in foreign languages.
我明天在大厅等你，咱们一同出发。,I'll be waiting for you in the lobby tomorrow; we'll set off together.
人们聚集在广场上，一同迎接新年的到来。,People gathered in the square to welcome in the New Year together.
公园里散步的老年人大都是附近的居民。,Most of the elderly people out for a stroll in the park are local residents.
假期时，这里的人们大都选择去海边度假。,"During the holidays, most people here choose to go on holiday to the seaside."
他一时紧张，忘记要说什么了。,He got so flustered that he forgot what he was going to say.
面对眼前的比赛结果，人们一时难以接受。,"Faced with the result of the match, people found it hard to accept at first."
她不时看看手机，等待着朋友的消息。,"She kept glancing at her mobile, waiting for a message from her friend."
隔壁房间不时传来一阵笑声。,Bursts of laughter could be heard from time to time from the room next door.
实验失败了，但他们没有放弃，仍旧坚持干下去。,"The experiment failed, but they didn't give up; they carried on regardless."
他很努力地练习发音，但仍旧说得不太标准。,"He practised his pronunciation very hard, but he still doesn't speak very clearly."
他们带着孩子又跑了几家医院，但依旧没有得到明确的诊断。,"They took their child to several more hospitals, but still did not receive a definitive diagnosis."
二十多年过去了，她依旧那么美丽动人。,"More than twenty years have passed, yet she remains as beautiful and captivating as ever."
作为老师，她一向严格要求自己的学生。,"As a teacher, she has always set high standards for her pupils."
他一向喜欢跟朋友开玩笑。,He's always enjoyed joking around with his friends.
出发前老师一再提醒大家带上护照，可我还是忘了。,"Before we set off, the teacher kept reminding us to bring our passports, but I still forgot."
王经理一再强调这个项目对于公司至关重要。,Manager Wang has repeatedly emphasised that this project is of vital importance to the company.
他再三考虑要不要放弃工作的机会。,He thought long and hard about whether to turn down the job offer.
小张再三向领导解释他上班迟到的原因。,Zhang repeatedly explained to his manager the reasons for his late arrival at work.
听到这可怕的消息，我的心不禁凉了。,"Upon hearing this terrible news, my heart sank."
听完她的演讲，大家不禁鼓起掌来。,"After listening to her speech, everyone couldn't help but break into applause."
上课铃一响，学生们就赶忙跑回了教室。,"As soon as the bell rang, the pupils hurried back to their classrooms."
听到有人求助，他赶忙过去帮忙。,"Hearing someone calling for help, he hurried over to assist."
回国当天，朋友特地开车把我送到了机场。,"On the day I returned home, a friend went out of his way to drive me to the airport."
为了掌握实际情况，政府特地组织专家团队到当地开展调查。,"In order to ascertain the actual situation, the government specially organised a team of experts to carry out an investigation on the ground."
这些书是我特意请朋友从国外买回来的。,I asked a friend to buy these books for me from abroad.
我特意为您准备了一份礼物，请您一定收下。,I've made a special effort to prepare a gift for you; please do accept it.
小女孩偷偷把糖装进了口袋。,The little girl secretly put the sweets in her pocket.
他偷偷把那件事告诉了老师。,He secretly told the teacher about it.
她最近工作很忙，未必有时间回老家。,"She's been very busy with work recently, so she might not have time to go back to her hometown."
有钱就一定会幸福吗？那也未必。,Does having money necessarily mean you'll be happy? Not necessarily.
婚礼那天恰好是新娘的生日。,The wedding day happened to be the bride's birthday.
下周六我恰好有时间，咱们可以一起去爬山。,"I happen to be free next Saturday, so we could go for a walk in the hills together."
你计划得倒是很好，可是你能做到吗？,"That's all very well and good, but can you actually pull it off?"
这部漫画的内容一般，绘画风格倒是生动有趣。,"The story in this manga is nothing special, but the artwork is lively and entertaining."
既然双方不愿意合作，干脆就不要浪费时间再谈了。,"Since neither side is willing to cooperate, we might as well not waste any more time discussing the matter."
你今天这么累，干脆早点休息，明天再工作吧！,You're so tired today – why not get some rest early and carry on with work tomorrow?
你明明不胖，为什么总嫌自己胖呢？,"You're clearly not overweight, so why do you always think you are?"
明明是他做错了事，凭什么让我向他道歉？,It's clearly him who's in the wrong – why on earth should I have to apologise to him?
我们在路边等了很久，总算有位好心的司机让我们搭车回到了学校。,"We waited by the roadside for a long time, and at last a kind driver gave us a lift back to school."
连着下了一周小雨，今天总算迎来了一个晴天。,"It's been drizzling on and off for a week, but today we've finally been blessed with a sunny day."
这所学校成立于1950年。,The school was founded in 1950.
他已于上月离京。,He left Beijing last month.
刚来中国时，我既听不懂也说不清楚，至于写作和阅读，就更不行了。,"When I first arrived in China, I could neither understand nor speak the language properly; as for writing and reading, I was even worse at those."
新产品已经开始生产了，至于销售时间和价格，现在还不能确定。,"Production of the new product has already begun; however, the launch date and price have not yet been confirmed."
因天气原因，运动会延期至周六举行。,"Due to the weather, the sports day has been postponed until Saturday."
他因迟到而错过了这次面试。,He missed the interview because he was late.
除特殊情况外，不得随意离开工作岗位。,"Except in exceptional circumstances, staff must not leave their workstations without authorisation."
除申请表以外，申请人还应提交一份个人简历。,"In addition to the application form, applicants should also submit a curriculum vitae."
我本来打算在房间看书，不料突然停电了，我只好去图书馆。,"I had originally planned to read in my room, but there was a sudden power cut, so I had to go to the library."
我以为两个孩子能一起好好玩儿，不料他俩刚一见面就吵起来了。,"I thought the two children would get on well together, but to my surprise, they started arguing as soon as they met."
这部电影是根据人们所熟悉的故事改编的。,This film is based on a story that people are familiar with.
你所了解的情况只是一小部分。,What you know is only a small part of the picture.
我昨天就已经把作业交给老师啦！,I handed in my homework to the teacher yesterday!
这些文件对于公司至关重要，你可千万别弄丢啦！,"These documents are vital to the company, so please do make sure you don't lose them!"
我只是开个玩笑，你不要太认真嘛。,I was just joking – don't take it too seriously.
要是觉得累了，就走慢一点儿嘛。,"If you're feeling tired, just slow down a bit."
孩子们假期不回来也好，我可以好好休息休息了。,It's just as well the children aren't coming home for the holidays; I'll be able to have a proper rest.
手机也好，电脑也好，长时间使用都会造成眼睛疲劳。,"Whether it's a mobile phone or a computer, using them for long periods can cause eye strain."
小孩子总是喜欢拉着父母问这问那。,"Children are always tugging at their parents' sleeves, asking all sorts of questions."
既然决定了就大胆去做吧，不要总是想这想那。,"Now that you've made up your mind, just go for it – don't keep overthinking things."
天还没亮，他就醒了，躺在床上左思右想，怎么也睡不着。,"He woke up before dawn and lay in bed, mulling things over, but couldn't get back to sleep no matter what."
她在商场里左挑右选，始终没买到一件满意的衣服。,"She browsed high and low in the shopping centre, but never managed to find a single item of clothing she was happy with."
我好不容易才获得这次面试机会，一定不会轻易放弃。,"It took me a great deal of effort to secure this interview, so I certainly won't give up easily."
假期好不容易可以休息一下，你怎么还要去公司加班？,"You've finally got a chance to have a bit of a rest over the holidays, so why on earth are you going into the office to work overtime?"
假如去那家公司工作能为你提供更多的发展空间，那倒也是个不错的选择。,"If working for that company were to offer you greater opportunities for development, that would indeed be a good option."
要是你能从失败中吸取教训，那倒也是件值得高兴的事。,"If you can learn from your failures, that is certainly something to be pleased about."
这些旧衣服扔掉算了，反正也不会再穿了。,I might as well just bin these old clothes; I'm never going to wear them again anyway.
雪下得这么大，估计不会有客人来了，干脆早点儿关门算了。,"It's snowing so heavily; I doubt any customers will turn up, so I might as well close up a bit early."
得了，别再想了，结果不可能改变了。,"Come on, stop thinking about it – there's no point in changing the outcome now."
你这么喜欢这本书，干脆送给你得了。,"Since you like this book so much, I might as well give it to you."
我们左一句、右一句地安慰，她才终于不哭了。,It was only after we had offered her a few words of comfort here and there that she finally stopped crying.
大家你一言，我一语，很快就商量出了解决的办法。,"With everyone chipping in, they soon came up with a solution."
房间里的衣服东一件，西一件，扔得哪儿都是。,"Clothes are strewn all over the room, with items scattered here and there."
最近他东一本，西一本地看了不少书。,He's been reading quite a few books here and there recently.
到目前为止，双方已经达成了初步的合作。,"To date, the two parties have reached a preliminary agreement on cooperation."
他把产品设计改了很多遍，一直到客户满意为止。,He revised the product design numerous times until the client was satisfied.
我把你当作好朋友，没想到你竟然骗到我头上来了。,"I thought of you as a good friend, but I never expected you to go and deceive me like that."
问题不是我造成的，怎么怪到我头上来了？,"I didn't cause the problem, so why am I being blamed for it?"
不学不知道，一学才知道汉字如此有魅力。,"You don't realise it until you start learning, but once you do, you discover just how fascinating Chinese characters are."
这茶不尝不知道，一尝就喜欢上了。,"You won't know what this tea's like until you try it, but once you do, you'll love it."
好你个老张，原来是你在背后说我坏话！,"Well, you're something, Old Zhang—so it was you who's been badmouthing me behind my back!"
好你个骗子，赶紧把钱还给我，否则我就报警。,"You scoundrel! Give me my money back straight away, or I'll call the police."
早不来，晚不来，我正要出门你来了。,You couldn't have come at a better time – I was just about to head out when you turned up.
早也不下雨，晚也不下雨，比赛刚一开始就下起来了。,"It didn't rain in the morning, nor did it rain in the evening; it only started to rain just as the match began."
瞧把他兴奋得，简直像个孩子一样。,Look how excited he is—he's just like a child.
看把你笑得，腰都直不起来了。,Look at you laughing—you can't even straighten your back.
你为什么放着自己的车不开，跑去借别人的车？,Why didn't you just use your own car instead of borrowing someone else's?
他放着孩子不管，整天跑出去玩儿。,He neglects his child and spends all day out having fun.
他已经是大人了，走了就走了，有什么好担心的？,"He's a grown-up now; if he's gone, he's gone—what's there to worry about?"
东西丢了就丢了，没有什么好可惜的。,"If something's lost, it's lost; there's no point in feeling sorry about it."
这也不好吃，那也不好吃，你干脆饿着吧。,"If you don't like this and you don't like that, you might as well go hungry."
那也不喜欢，这也不满意，你到底想找什么样的工作？,"You don't like this one, you're not happy with that one – what sort of job are you actually looking for?"
打归打，骂归骂，父母永远是最疼你的人。,"However much they may hit or shout at you, your parents will always be the ones who love you the most."
计划归计划，行动归行动，二者并不完全一样。,"Plans are one thing, and action is another; the two are not entirely the same."
我跟你开玩笑呢！看你吓的！,I was just joking! Look how scared you got!
不就是得了奖学金吗？瞧他得意的！,"So what if he's won a scholarship? Look at him, so smug!"
我恨透了那些不诚信的商家。,I absolutely detest dishonest traders.
大雨把他身上的衣服全都淋透了。,The heavy rain soaked all his clothes through.
阳光把大地染成了红色。,The sunlight turned the earth red.
音乐声把游客都吸引过去了。,The sound of music drew all the tourists over.
孩子把妈妈气得睡不着觉。,The child has upset his mother so much that she can't sleep.
她讲述的故事把大家感动哭了。,The story she told moved everyone to tears.
最近产品价格不太稳定，一时上升一时下降。,"Product prices have been rather volatile recently, fluctuating between rises and falls."
这段时间天气变化快，一时冷一时热。,"The weather has been changing rapidly of late, alternating between cold and warm."
我平常要么点外卖，要么自己做，很少去食堂吃。,I usually either order takeaway or cook for myself; I rarely eat in the canteen.
那家饭馆的菜要么太咸，要么太辣，我都不爱吃。,The food at that restaurant is either too salty or too spicy; I don't like any of it.
比赛虽未取得胜利，但我们收获了宝贵的经验。,"Although we did not win the match, we gained some valuable experience."
这道题虽有难度，可做出来的同学不在少数。,"Although this question was challenging, quite a few pupils managed to solve it."
文章虽短，读后却使人充满力量。,"Although the article is short, reading it leaves one feeling inspired."
她心里虽不喜欢，也坚持来上班了。,"Although she didn't really fancy it, she still made a point of coming to work."
凡是有机会，他都会积极争取。,"Whenever the opportunity arises, he makes the most of it."
凡是错误的行为，我们都应该纠正。,We should correct any behaviour that is wrong.
除非你亲自邀请，他才有可能同意参加。,He is only likely to agree to attend if you invite him personally.
除非是紧急情况，我才会向他求助。,I only ask him for help in an emergency.
除非他承认错误并向我道歉，否则我不会原谅他。,"Unless he admits his mistake and apologises to me, I won't forgive him."
除非你说清楚是什么事情，不然我不可能同意帮忙。,"Unless you explain exactly what it's about, there's no way I'll agree to help."
就算再累，我也要坚持完成任务。,"No matter how tired I am, I'll see the task through to the end."
就算他做错了，你也要注意教育方法。,"Even if he has done something wrong, you must be careful about how you discipline him."
请留下您的联系方式，以便日后联系。,Please provide your contact details so that we can get in touch with you in the future.
当地政府计划调整地铁的发车时间，以便更多的乘客能够乘坐公共交通。,The local government plans to adjust the metro timetable so that more passengers can use public transport.
奥运场馆开工之前，就要考虑到后奥运时代的需求。,"Before construction of Olympic venues begins, consideration must be given to post-Olympic requirements."
市长对老人们嘘寒问暖，并亲手将慰问品送到老人手中。,The mayor enquired after the elderly residents' well-being and personally handed out care packages to them.
新时代农民的价值观、消费观、审美观都和以往有了很大的不同。,"The values, attitudes to consumption and aesthetic tastes of farmers in the new era are very different from those of the past."
只给孩子花钱却不花时间陪伴孩子的家长同样是小气鬼。,Parents who only spend money on their children but do not spend time with them are just as stingy.
我的导师在学术界和产业界都享有崇高的声望。,My supervisor is held in high esteem in both academia and industry.
经过七个小时的飞行，我终于在异国安然落地。,"After a seven-hour flight, I finally touched down safely in a foreign country."
今年的“体坛风云人物”颁奖仪式特别隆重。,This year's ‘Sports Personality of the Year' awards ceremony was particularly grand.
本公司的产品多年来广为消费者称赞。,Our company's products have been widely praised by consumers for many years.
"以公有制为主体、多种所有制经济共同发展,是中国现阶段的基本经济制度。","An economic system in which public ownership plays a dominant role, whilst various forms of ownership develop alongside it, constitutes China's basic economic system at the present stage."
他巴不得早点儿退休，好能到处游山玩水。,He can't wait to retire so he can travel the world.
在外漂泊多年的游子归心似箭，巴不得一步跨进家门。,"A child of the diaspora, having wandered far from home for many years, is eager to return and can't wait to step through the front door."
一种艺术风格的形成并非一蹴而就，必须经历一个渐进发展的过程。,The formation of an artistic style does not happen overnight; it must go through a process of gradual development.
你之所以落选，并非你不优秀，而是你的风格和他们的需求不完全匹配。,"The reason you weren't selected is not because you aren't good enough, but because your style doesn't quite match their requirements."
八折优惠仅限周一至周五使用，法定节假日除外。,"The 20 per cent discount is valid from Monday to Friday only, excluding public holidays."
在场各位皆是西装革履，只有一人除外，穿着十分随意。,"Everyone present was dressed in a suit and tie, with one exception—one person was dressed very casually."
他是个啥也不懂的毛头小子，你犯不着跟他一般见识。,He's just a greenhorn who doesn't know the first thing about anything; it's not worth getting worked up over him.
你们俩打小就认识，为了这么点儿小事闹翻，犯不着。,You've known each other since you were little; it's not worth falling out over such a trifling matter.
现在是公司发展的关键时期，你犯得着为这些小事分心吗？,This is a crucial period for the company's development; is it really worth getting distracted by such trivial matters?
人家好心好意给你提些意见，你这么激动，犯得着吗？,"They've given you some well-meaning advice, so is it really worth getting so worked up about it?"
一开始项目推动得非常缓慢，我们恨不得24小时都在工作。,"At first, the project was progressing very slowly; we felt as though we could have worked round the clock."
大家的学习热情很高，恨不得一下子把所有的先进技术都学到手。,Everyone is highly enthusiastic about learning and can't wait to get to grips with all the cutting-edge technologies at once.
此事可否容我思索几日，再行答复？,Might I have a few days to think it over before I reply?
关于先生会上所言，学生尚有不明之处，可否向先生进一步请教？,"Regarding what you said in class, there are still some points I do not fully understand. Might I ask you to explain them further?"
我申请与其当面对质，不知可否？,I would like to request a face-to-face meeting with him to discuss this matter. Would that be possible?
王安忆对上海人的观察和描写非常细腻，可谓“入木三分”。,Wang Anyi's observations and portrayals of the people of Shanghai are exceptionally nuanced; they could be described as ‘cutting to the quick'.
《昆虫记》知识性、趣味性、哲理性兼具，真可谓是科学与艺术相结合的典范。,"*The Natural History of Insects* combines educational value, entertainment and philosophical insight; it is truly a prime example of the fusion of science and art."
在成长的道路上，免不了会遇到各种各样的问题。,"On the journey of growing up, one is bound to encounter all sorts of problems."
这件事要是让他知道，一顿数落是免不了的。,"If he finds out about this, I'm bound to get a telling-off."
所谓难得糊涂，并非是对生活的无奈妥协，而是一种张弛有度的处世之道。,"The so-called ‘art of turning a blind eye' is not a resigned compromise with life, but rather a way of navigating the world that strikes a balance between rigour and flexibility."
这家公司所谓的产品升级，不过是给商品换了一个更华丽的包装。,This company's so-called product upgrade is nothing more than giving the goods a more glamorous packaging.
引进先进技术与优化管理流程后，各部门工作效率均有所提高。,"Following the introduction of advanced technology and the optimisation of management processes, work efficiency has improved across all departments."
倘若事态紧急，无暇向上请示，你大可自行决断，不必有所顾虑。,"Should an urgent situation arise and there be no time to seek instructions from your superiors, you may make your own decision without hesitation."
限于作者水平，如有不当之处还望专家予以批评指正。,"Given the author's limited expertise, I would be grateful if experts could point out any inaccuracies and offer their guidance."
对于原告提出的高昂赔付要求，法院并未予以支持。,The court did not uphold the plaintiff's claim for substantial damages.
我校教育质量上乘，办学几十年间为国家培养、输送了大批优秀人才。,"Our university offers an excellent standard of education and, over the course of several decades, has trained and produced a large number of outstanding graduates for the nation."
我公司始终秉持“以客户为中心”的理念，致力于为客户提供最优质的服务。,Our company has always adhered to a ‘customer-centric' philosophy and is committed to providing our customers with the highest quality service.
“古典小说”鼎盛于明清时期，彼时涌现了如四大名著等众多经典之作。,"‘Classical fiction' reached its peak during the Ming and Qing dynasties, a period which saw the emergence of numerous classic works, such as the Four Great Classical Novels."
提起朝阳，人们往往会想到北京的朝阳区。然而我们今日前往参观的此“朝阳”非彼“朝阳”，乃是被誉为“三燕古都”的辽宁省朝阳市。,"When people hear the word ‘Chaoyang', they often think of Beijing's Chaoyang District. However, the ‘Chaoyang' we are visiting today is not that ‘Chaoyang', but rather Chaoyang City in Liaoning Province, which is renowned as the ‘Ancient Capital of the Three Yan Kingdoms'."
在商务谈判中，应尽量做到知己知彼，这样才能争取到最大的利益。,"In business negotiations, one should endeavour to know both oneself and the other party as well as possible; only in this way can one secure the greatest possible benefit."
你们觉得这么着好就这么办，不必再来问我的意见了。,"If you think this is the way to go, then let's do it that way; there's no need to ask my opinion again."
那地方你人生地不熟的，这么着吧，我陪你一起去看看。,"You don't know your way around there, so how about this: I'll come along with you and have a look."
兹证明李莉女士系本单位正式员工，已连续在本单位工作十年。,This is to certify that Ms Li Li is a permanent employee of this organisation and has been employed here continuously for ten years.
受有关机构委托，兹有以下标的拟予以转让，现公告如下，欢迎合格投标人参加该项目投标。,"On behalf of the relevant authorities, we hereby announce the proposed transfer of the following assets. We welcome eligible bidders to participate in the tender for this project."
历史学家的任务之一是在浩瀚的史料中挖掘出何时、何地发生了何种事件。,"One of the tasks of historians is to sift through the vast body of historical sources to determine when, where and what events took place."
这座滨江小城魅力何在？因何引得诸多文人骚客留下脍炙人口的名篇？,What is the charm of this small riverside town? Why has it inspired so many literary figures to pen such widely acclaimed masterpieces?
他夜里翻来覆去地想着这件事，可是还是不知道该怎么着才好。,"He tossed and turned all night, mulling it over, but still had no idea what to do."
你说她半天在那儿一声不吭，是生气了还是怎么着？,You say she's been standing there for ages without saying a word – is she angry or something?
经过初赛、复赛和决赛，大赛产生了“十佳歌手”和若干“优秀歌手”。,"Following the preliminary rounds, semi-finals and finals, the competition produced the ‘Top Ten Singers' and a number of ‘Outstanding Singers'."
她一生著有长篇小说七部，另有中短篇小说、散文、诗歌、随笔若干。,"She wrote seven full-length novels during her lifetime, as well as a number of short stories, essays, poems and miscellaneous writings."
该项目的延期是由多重原因所导致的，包括预算不足、人员短缺等。,"The delay in this project was caused by a number of factors, including insufficient funding and staff shortages."
她们团队克服重重困难和阻碍，出色地完成了艰巨的任务。,Their team overcame numerous difficulties and obstacles to successfully complete this arduous task.
他想找一截木头做个镇纸。,He wanted to find a piece of wood to make a paperweight.
他看到这里简陋的生活环境，心里顿时凉了半截。,"When he saw the crude living conditions here, his heart sank."
迎面走来一个身着白色T恤的女学生，白皙的额头上垂落着一缕秀发。,"A schoolgirl wearing a white T-shirt was walking towards us, with a strand of hair falling across her fair forehead."
忽地起了一阵微风，送来缕缕清香，将所有的烦恼瞬间驱散。,"Suddenly, a gentle breeze stirred, carrying with it a faint, sweet scent that instantly dispelled all my worries."
科研和科普是两码事。杰出的科学家未必能写出好的科普作品，优秀的科普作家也不一定能做好科研工作。,"Scientific research and popular science are two different things. An outstanding scientist does not necessarily produce good popular science writing, nor does an excellent popular science writer necessarily excel at scientific research."
虽然你们私交很好，但工作上的事情还是应该一码归一码，公事公办。,"Although you get on very well on a personal level, you should keep work matters separate and deal with them professionally."
权利与义务犹如一枚硬币的两面，相互依存，密不可分。,Rights and obligations are like two sides of the same coin; they are interdependent and inseparable.
他工作非常出色，十年里共获得五枚奖章。,"He has performed exceptionally well in his work, winning a total of five medals over the past ten years."
苏州有一对老夫妻，子女们平日里各为自己的一摊事忙活，只有节假日才有机会团聚。,"There is an elderly couple in Suzhou whose children are usually too busy with their own lives to see them, and only have the chance to get together during public holidays."
公司的事已经让他焦头烂额，家中还另有一摊，他感到身心俱疲。,"He was already overwhelmed by work, and with another problem at home to contend with, he felt completely worn out, both physically and mentally."
要制成一丸药，需用上三十多种原料并经过多道工序。,"To produce a single pill, more than thirty different ingredients are required, and the process involves numerous stages."
这个药每日三次，每次六丸，餐后半小时服用。,"Take this medicine three times a day, six pills each time, half an hour after meals."
今天《人民日报》上刊登的一则新闻，令我大吃一惊。,A news item published in today's *People's Daily* took me completely by surprise.
在不到两小时的演讲过程中，他至少引用了20则古代典故。,"During his speech, which lasted less than two hours, he cited at least 20 classical allusions."
历经一年，长乐村建成了一幢两层高的标准化教学楼。,"After a year of work, a two-storey standardised school building was completed in Changle Village."
医院今年新建职工宿舍三幢，医技大楼两幢。,"This year, the hospital has built three new staff accommodation blocks and two medical technology buildings."
法官必须具有超乎寻常的耐心和细心，才能办好每一宗案件。,Judges must possess extraordinary patience and attention to detail in order to handle every case effectively.
他匆匆赶往机场，准备飞去香港谈宗生意。,"He hurried to the airport, ready to fly to Hong Kong to discuss a business deal."
了解了我的饮食习惯以后，那位医生将我好一通批评，说我没有管住嘴。,"After finding out about my eating habits, the doctor gave me a good telling-off, saying I hadn't been watching what I ate."
因为他的失误，公司利益受到了重大损失，老板把他狠狠训了一通。,"Because of his mistake, the company suffered significant financial losses, and his boss gave him a severe telling-off."
旅游大数据显示，今年一季度辽宁省共接待游客1.71亿人次，同比增长68.2%。,"Tourism big data shows that in the first quarter of this year, Liaoning Province welcomed a total of 171 million visitor arrivals, representing a year-on-year increase of 68.2 per cent."
各大图书馆的古旧书刊，因近年借阅人次大幅增加，损坏非常严重。,"Due to a significant increase in the number of loans in recent years, the old books and periodicals in major libraries have suffered severe damage."
当他们第一次品尝这道精致的菜肴时，大为惊叹，味蕾感到前所未有的满足。,"When they tasted this exquisite dish for the first time, they were utterly amazed, and their taste buds experienced a sense of satisfaction unlike anything they had ever felt before."
该歌手的演唱会门票，每张均以高价售出，但其表演水平并不高，观众看后大为不满。,"Tickets for this singer's concert were sold at a high price each, but the standard of the performance was not particularly high, leaving the audience deeply dissatisfied."
与高手过招时须分外小心，万不可轻举妄动。,You must be particularly careful when facing a skilled opponent; under no circumstances should you act rashly.
由于周边建筑都比较低矮，这座大楼显得分外高大。,"As the surrounding buildings are all relatively low-rise, this building appears particularly tall."
拥有一双发现美的眼睛，在平淡生活中捕捉到一点一滴的美好，是何等幸运！,"How fortunate it is to have an eye for beauty, and to be able to capture the little moments of joy in everyday life!"
在地形条件复杂的地区修筑一条长距离的铁路，不仅需攻克技术难题，而且投资,"Building a long-distance railway in an area with complex terrain not only requires overcoming technical challenges, but also entails significant investment"
巨大、耗时耗力，是何等地不容易啊！,"It's a massive, time-consuming and labour-intensive task – what a struggle it is!"
即使在极度困难的条件下，他仍执着地追求着自己的艺术理想。,"Even under extremely difficult circumstances, he continued to pursue his artistic ideals with unwavering dedication."
他这段时间一直极度紧张和焦虑，现在终于放松下来了。,"He has been extremely tense and anxious for some time now, but has finally managed to relax."
在会议上，他提出的解决方案大家都表示赞成，只有副总经理一个人极力反对。,"At the meeting, everyone agreed with the solution he proposed, with the exception of the Deputy General Manager, who was the only one to strongly oppose it."
他极力想忍住，但疼痛还是使他叫出声来。,"He tried his hardest to hold it in, but the pain still made him cry out."
今年这套试卷注重考查学生灵活运用语言知识的能力，整体难度略高于历年考题。,"This year's examination paper places emphasis on assessing students' ability to apply their knowledge of the language flexibly, and the overall level of difficulty is slightly higher than in previous years."
主人的审美意趣如何，从其所着的衣饰和家中的陈设，便可略知一二。,One can gain some insight into a host's aesthetic tastes from the clothes they wear and the furnishings in their home.
他脸上挂着浅浅笑意，听到问题后总会先略微思考一下，再不紧不慢地作答。,"He always had a faint smile on his face; whenever he was asked a question, he would pause for a moment to think before answering in a measured, unhurried manner."
