entry,pos,meaning
指挥,名,conductor (of an orchestra)
指示,动,to point out/to indicate/to instruct
指示,名,directives/instructions
至于,动,to go so far as to
至于,介,as for/as to
中暑,名,sunstroke; heatstroke
中暑,动,to suffer heat exhaustion
主导,动,to lead/to direct/to dominate
主导,名,leading/dominant/prevailing
主管,动,in charge/responsible for
主管,名,person in charge/manager
主演,动,to play the leading role; to star
主演,名,lead actor
主张,动,to advocate/to stand for
主张,名,view/position/stand/proposition/viewpoint/assertion
装备,动,to equip/to outfit
装备,名,equipment
足,形,sufficient; ample
足,副,as much as; fully
足,名,(bound form) foot; leg
阻碍,动,to obstruct/to hinder/to block
阻碍,名,obstruction/hindrance
碍事,动,to be in the way; to be a hindrance/(usu. in the negative) to be of consequence; to matter
安定,形,stable; calm; settled
安定,动,to stabilize
安定,名,Valium; diazepam
八成,数量,eighty percent
八成,副,most probably/most likely
八卦,名,the eight divinatory trigrams of the Book of Changes 易經|易经[Yi4 jing1]/gossip
八卦,形,gossipy
百般,副,in hundred and one ways/in every possible way/by every means
败坏,动,to ruin/to corrupt/to undermine
伴,名,partner; companion; comrade; associate
伴,动,to accompany
磅,量,"(loanword) pound (unit of weight, about 454 grams)/(printing) point (unit used to measure the size of type)/(Tw) (printing) pound; ream weight (used to describe paper thickness)"
磅,名,scale (instrument for weighing)
磅,动,to weigh
煲,名,pot/saucepan
煲,动,to cook slowly over a low flame
保守,动,to guard/to keep
保守,形,conservative
备,动,(bound form) to prepare; to equip
备,副,(literary) fully; completely
本分,名,(to play) one's part/one's role/one's duty/(to stay within) one's bounds
本分,形,dutiful/keeping to one's role
编号,动,to number
编号,名,numbering/serial number
编剧,动,to write a play
编剧,名,scenario/dramatist/screenwriter
边缘,名,edge; fringe; verge; brink; periphery
边缘,形,marginal; borderline
辩证,动,to investigate
辩证,形,dialectical
标记,动,to mark up
标记,名,sign/mark/symbol/(computing) token
标识,动,to symbolize; to indicate; to mark
标识,名,sign; mark; symbol; logo
憋,动,to choke/to stifle/to restrain/to hold back/to hold in (urine)/to hold (one's breath)
并肩,副,alongside/shoulder to shoulder/side by side/abreast
拨,动,"to push aside with the hand, foot, a stick etc/to dial/to allocate/to set aside (money)/to poke (the fire)/to pluck (a string instrument)/to turn round"
拨,量,"classifier: group, batch"
拨款,动,to allocate funds
拨款,名,appropriation
不定,形,indefinite/indeterminate/(botany) adventitious
补给,动,to replenish
补给,名,supply/replenishment
补助,动,to subsidize
补助,名,subsidy/allowance
布局,名,arrangement/composition/layout/opening (chess jargon)
不堪,动,cannot bear/cannot stand
不堪,副,utterly/extremely
不由得,副,can't help/cannot but
参谋,名,staff officer
参谋,动,to give advice
测验,动,to test
测验,名,test
差额,名,balance (financial)/discrepancy (in a sum or quota)/difference
岔,名,"fork in road/bifurcation/branch in road, river, mountain range etc"
岔,动,to branch off/to turn off/to diverge/to stray (from the path)/to change the subject/to interrupt/to stagger (times)
馋,形,gluttonous/greedy
馋,动,to have a craving
长征,名,expedition/long journey
敞开,动,to open wide
敞开,副,unrestrictedly
倡议,动,to suggest/to initiate
倡议,名,proposal/initiative
超前,形,advanced
超前,动,to be ahead of one's time/to surpass or outdo one's predecessors/to be ahead of the pack/to take the lead
潮,名,tide
潮,形,damp; moist; humid/fashionable; trendy/(coll.) inferior; substandard
沉淀,动,"(chemistry) to settle; to precipitate/(fig.) (of emotions, thoughts, experience etc) to settle and be absorbed over time; to take shape gradually (through reflection or maturation)"
沉淀,名,(chemistry) sediment; precipitate
澄清,形,clear (of liquid)/limpid
澄清,动,to clarify/to make sth clear/to be clear (about the facts)
重叠,动,to overlap/to superimpose/to telescope/to run together/to duplicate
重叠,名,"superposition/an overlap/redundancy/reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)"
重叠,形,one over another
仇恨,动,to hate
仇恨,名,hatred/enmity/hostility
出身,动,to be born of/to come from
出身,名,family background/class origin
出手,动,to dispose of/to spend (money)/to undertake a task
锄,名,a hoe
锄,动,to hoe or dig/to weed/to get rid of
除去,动,to eliminate/to remove
除去,介,except for/apart from
储备,动,to store up
储备,名,reserves
处方,动,to write out a prescription
处方,名,medical prescription/(fig.) recommendation/advice
处分,动,to discipline sb/to punish/to deal with (a matter)
处分,名,disciplinary action
传人,动,to teach/to impart
传人,名,a disciple/descendant
传言,名,rumor/hearsay
锤,名,hammer/weight (e.g. of a steelyard or balance)
锤,动,to hammer into shape/to strike with a hammer
纯粹,形,pure/unadulterated
纯粹,副,purely/completely
纯洁,形,pure/clean and honest
纯洁,动,to purify
戳,动,to jab/to poke/to stab/(coll.) to sprain/to blunt/to fuck (vulgar)/to stand/to stand (sth) upright
戳,名,stamp/seal
刺绣,动,to embroider
刺绣,名,embroidery
存货,名,stock/inventory (of material)
搭档,动,to cooperate
搭档,名,partner
大不了,形,(usu. in the negative) serious; alarming
大不了,副,at worst; if worst comes to worst
大气,名,atmosphere (surrounding the earth)
大气,形,imposing; impressive; stylish
大体,名,overall situation; the big picture/cadaver for dissection in training medical students
大体,副,in general; more or less; in rough terms; basically; on the whole
大宗,形,large amount
大宗,名,staple/influential family of long standing
单身,名,unmarried; single
单身,副,alone
当真,动,to take seriously
当真,副,"No joking, really!"
当真,形,serious
导向,动,to be oriented towards
导向,名,orientation
盗版,名,see also 正版[zheng4 ban3]
盗版,形,pirated/illegal
到位,动,to get to the intended location/to be in place/to be in position
到位,形,precise/well (done)
低调,名,low pitch
低调,形,quiet (voice)/subdued/low-key/low-profile
点评,动,to comment
点评,名,a point by point commentary
垫,动,to pad out/to fill a gap/to pay for sb/to advance (money)
垫,名,pad/cushion/mat
雕刻,动,to carve/to engrave
雕刻,名,carving
雕塑,动,to carve
雕塑,名,a statue/a Buddhist image/sculpture
调度,动,"to dispatch (vehicles, staff etc)/to schedule/to manage"
调度,名,dispatcher/scheduler
顶尖,名,peak/apex
顶尖,形,world best/number one/finest (competitors)/top (figures in a certain field)
动荡,名,unrest (social or political)/turmoil/upheaval/commotion
动摇,动,to sway/to waver/to rock/to rattle/to destabilize/to pose a challenge to
兜,名,pocket/bag/combat armor (old)
兜,动,to wrap up or hold in a bag/to move in a circle/to canvas or solicit/to take responsibility for/to disclose in detail
端正,形,upright/regular/proper/correct
断然,形,resolute/definitive
断然,副,categorically/absolutely
多半,数,most
多半,副,mostly/most likely
恶作剧,动,to play a practical joke
恶作剧,名,practical joke/prank
乏力,形,lacking in strength; weak; feeble/not up to the task
法治,名,rule of law
法治,动,to rule by law
反感,名,bad reaction/antipathy
反感,形,to be disgusted with/to dislike
反面,名,reverse side/backside/the other side (of a problem etc)
反面,形,negative/bad
仿真,动,to emulate/to simulate
仿真,名,emulation/simulation
放纵,动,to indulge/to pamper/to connive at
放纵,形,permissive/indulgent/self-indulgent/unrestrained/undisciplined/uncultured/boorish
非,动,to not be; not/to reproach; to blame
非,副,(coll.) to insist on; simply must
非,前缀,non-; un-; in-; de-
非,形,wrong; incorrect
废,动,to abolish/to abandon/to abrogate/to discard/to depose/to oust
废,形,crippled/abandoned/waste
废话,名,nonsense; rubbish; superfluous words
废话,叹,You don't say!; No kidding! (gently sarcastic)
芬芳,形,fragrant
芬芳,名,perfume
分明,形,clear/distinct
分明,副,evidently/clearly
分歧,形,divergent
分歧,名,"difference (of opinion, position); disagreement/(math.) bifurcation"
分外,副,exceptionally
分外,形,not one's responsibility or job
疯,形,insane/mad/wild
封建,名,system of enfeoffment/feudalism
封建,形,feudal/feudalistic
腐败,形,rotten
腐败,动,to corrupt/to rot
腐败,名,corruption
腐烂,动,to rot/to putrefy
腐烂,形,(fig.) corrupt
腐朽,形,rotten/decayed/decadent/degenerate
负,动,to bear/to carry (on one's back)/to turn one's back on/to be defeated
负,形,negative (math. etc)
附带,动,to attach
附带,副,incidentally/in parentheses/by chance/in passing/additionally
附带,形,supplementary/secondary/subsidiary
附属,形,subsidiary/auxiliary/attached/affiliated/subordinate/subordinating
杆,名,stick/pole/lever
杆,量,classifier for long objects such as guns
高昂,动,to hold (one's head) high
高昂,形,expensive/high (spirits etc)
高调,名,high-sounding speech/bombast
高调,形,high-profile
高压,名,(physics) high pressure/(meteorology) high atmospheric pressure/high voltage/systolic blood pressure
高压,形,high-handed; oppressive
高涨,动,to surge up/to rise/(of tensions etc) to run high
搞笑,动,to get people to laugh
搞笑,形,funny/hilarious
根源,名,origin/root (cause)
耕地,动,to plow land
耕地,名,arable land
弓,名,a bow (weapon)
弓,动,to bend/to arch (one's back etc)
供奉,动,to consecrate/to enshrine and worship
供奉,名,an offering (to one's ancestors)/a sacrifice (to a god)
钩,名,hook/check mark or tick/window catch
钩,动,to hook/to sew/to crochet
构想,动,to conceive
构想,名,concept
孤立,形,isolated/unrelated; irrelevant
孤立,动,to isolate
故,副,intentional
故,连,therefore/hence
故,名,happening/instance/reason/cause/friend
故,形,former/old
故,动,"(of people) to die, dead"
顾虑,动,to worry about; to be concerned about
顾虑,名,misgivings; apprehensions
挂钩,动,to couple; to link; to hook together/(fig.) (preceded by 與|与[yu3] + {entity}) to establish contact (with {entity}); (Tw) to collude (with {entity})/(fig.) to link (marketing efforts with production etc); to peg (welfare payments to inflation etc); to tie (remuneration to performance etc)
挂钩,名,hook (on which to hang sth); latch hook; coupling
怪不得,副,no wonder!/so that's why!
怪异,形,monstrous/strange
怪异,名,strange phenomenon
管教,动,to discipline/to teach/to guarantee
光彩,名,luster/splendor/radiance/brilliance
光辉,名,radiance/glory
光辉,形,brilliant/magnificent
光荣,形,glorious
光荣,名,honor and glory
鬼,名,disembodied spirit; ghost; devil/one of the 28 constellations of ancient Chinese astronomy
鬼,形,sly; crafty; resourceful (variant of 詭|诡[gui3])
鬼,后缀,(suffix) person with a certain vice or addiction etc
果真,副,really/as expected/sure enough
果真,连,if indeed.../if it's really...
过往,动,to come and go/to have friendly relations with
过往,名,in the past
过往,形,previous
含蓄,动,to contain/to hold
含蓄,形,"(of a person or style etc) reserved/restrained/(of words, writings) full of hidden meaning/implicit/veiled (criticism)"
好歹,名,good and bad/most unfortunate occurrence
好歹,副,in any case/whatever
何等,代,what kind?
何等,副,"how, what/somewhat"
和气,形,friendly/polite/amiable
轰,拟声,explosion/bang/boom/rumble
轰,动,to attack/to shoo away/to expel
划算,动,to calculate/to weigh (pros and cons)/to view as profitable
划算,形,worthwhile/value for money/cost-effective
怀抱,动,"to hug/to cherish/to embrace (also fig. an ideal, aspiration etc)"
怀抱,名,within the bosom (of the family)
缓和,动,to ease (tension)/to alleviate/to moderate/to allay/to make more mild
回味,名,aftertaste
回味,动,to call to mind and ponder over
贿赂,动,to bribe
贿赂,名,a bribe
祸害,名,disaster/harm/scourge/bad person
祸害,动,to damage/to harm/to wreck
积淀,名,"deposits accumulated over long periods/fig. valuable experience, accumulated wisdom"
机关,名,mechanism; gear/office; agency; organ; organization; establishment; institution; body/stratagem; scheme; intrigue; plot; trick
机关,形,machine-operated
机密,形,classified (information)
机密,名,secret
积蓄,动,to save; to put aside
积蓄,名,savings
集会,动,to gather
集会,名,assembly/meeting
计,动,to calculate/to compute/to count/to regard as important/to plan
计,名,ruse/meter/gauge
剂,名,"(bound form) a compound made by mixing ingredients (esp. a medicinal or chemical product)/(bound form) small piece of dough cut from a rolled log, used for making mantou (steamed buns) or dumplings"
剂,量,classifier for a dose of medicine
忌讳,动,to avoid as taboo/to abstain from
忌讳,名,taboo
纪实,名,record of actual events/documentary (factual rather than fictional)
家用,名,family expenses/housekeeping money
家用,形,home-use/domestic
驾,动,to harness/to draw (a cart etc)/to drive/to pilot/to sail/to ride
驾,代,your good self
驾,前缀,prefixed word denoting respect (polite 敬辭|敬辞[jing4 ci2])
尖端,名,sharp pointed end/the tip/the cusp/highest peak/the best
尖端,形,tip-top/most advanced and sophisticated
简称,名,abbreviation; short form
简称,动,to be abbreviated to
检讨,动,to examine or inspect
检讨,名,self-criticism/review
健美,形,healthy and beautiful
健美,名,abbr. for 健美運動|健美运动[jian4 mei3 yun4 dong4]
健美,动,to do fitness exercises
见识,动,to gain first-hand knowledge of sth/to experience for oneself
见识,名,knowledge/experience/insight
建树,动,to make a contribution/to establish/to found
建树,名,contribution
鉴于,介,in view of/considering
鉴于,连,seeing that/whereas
见证,动,to be witness to
见证,名,witness/evidence
讲理,动,to argue/to reason with sb/to talk sense
讲理,形,to be reasonable
交互,副,mutual/each other/alternately/in turn
交互,形,interactive
交互,名,interaction
教条,名,doctrine/dogma/creed
教条,形,dogmatic
教养,动,to educate; to bring up; to nurture
教养,名,upbringing; breeding; culture
截,动,to cut off (a length)/to stop/to intercept
截,量,section/chunk/length
结晶,动,to crystallize
结晶,名,crystallization/crystal/(fig.) the fruit (of labor etc)
结晶,形,crystalline
界,名,(bound form) boundary; border/(bound form) realm
禁忌,名,taboo/contraindication (medicine)
禁忌,动,to abstain from
拘束,动,to restrict/to restrain
拘束,形,constrained/awkward/ill at ease/uncomfortable/reticent
绝,动,to cut short/to disappear/to vanish
绝,形,extinct
绝,副,absolutely/by no means
觉悟,动,to come to understand/to realize
觉悟,名,consciousness/awareness/Buddhist enlightenment (Sanskrit: cittotpāda)
均,形,(bound form) equal; uniform; even
均,副,(literary) without exception; all
开阔,形,wide/open (spaces)
开阔,动,to open up
开销,动,to pay (expenses)/(old) to dismiss (an employee)
开销,名,expenses
坑,名,pit; hollow; depression/(mining) pit; shaft; tunnel
坑,动,(literary) to bury alive/(coll.) to cheat; to scam; to screw over
空洞,名,cavity
空洞,形,empty/vacuous
空想,动,to fantasize
空想,名,daydream/fantasy
抠,动,to dig; to pick; to scratch (with a finger or sth pointed)/to carve; to cut/to study meticulously/to lift up (esp. the hem of a robe)
抠,形,stingy; miserly
苦心,名,painstaking effort
苦心,副,laborious at pains
苦心,动,to take a lot of trouble
框,名,frame (e.g. door frame)/casing/fig. framework/template
框,动,to circle (i.e. draw a circle around sth)/to frame/to restrict
捆,动,to tie together
捆,名,bundle
捆,量,a bunch
困惑,形,bewildered/perplexed/confused
困惑,名,difficult problem/perplexity
来电,动,"to phone in; to send in a telegram/to have an instant attraction to sb/(of electricity, after an outage) to come back"
来电,名,incoming telephone call (or telegram)
来回,动,to make a round trip
来回,名,return journey
来回,副,back and forth/to and fro/repeatedly
老大,形,old age
老大,副,very
老大,名,eldest child in a family/leader of a group/boss/captain of a boat/leader of a criminal gang
乐意,动,to be willing to do sth/to be ready to do sth/to be happy to do sth
乐意,形,content/satisfied
累赘,形,superfluous/cumbersome/long-winded (of writing)
累赘,动,to inconvenience/to tie sb down
累赘,名,a burden on sb/a nuisance to sb
冷淡,形,cold/indifferent
冷落,形,desolate/unfrequented
冷落,动,to treat sb coldly/to snub/to cold shoulder
愣,动,to look distracted/to stare blankly
愣,形,distracted/blank/rash
愣,副,(coll.) unexpectedly/rashly
理事,动,(literary) to take care of matters
理事,名,member of council
理智,名,reason/intellect/rationality
理智,形,rational
立方,名,cube (math.)/abbr. for 立方體|立方体[li4 fang1 ti3]
立方,量,abbr. for 立方米[li4 fang1 mi3]
历时,动,to last/to take (time)
历时,形,diachronic
历时,名,period
立体,形,three-dimensional/solid/stereoscopic
连夜,副,that very night/through the night/for several nights in a row
两下子,数量,a couple of times
两下子,名,the same old trick/tricks of the trade
两下子,动,to repeat the same
料理,动,to arrange/to handle/to cook
料理,名,cuisine/art of cooking
裂缝,名,crack/crevice
临,动,to face/to overlook/to arrive
临,副,to be (just) about to/just before
灵,形,quick/alert/efficacious/effective
灵,名,spirit/departed soul/coffin
灵,动,to come true
零碎,形,scattered and fragmentary
零碎,名,scraps/odds and ends
领队,动,to lead a group
领队,名,leader of a group/captain (of sports squad)
露天,名,outdoors
露天,形,al fresco/in the open
略,形,brief; sketchy
略,动,to omit/to capture (territory)
略,副,(bound form before a single-character verb) a bit; somewhat; slightly
略,名,outline; summary/plan; strategy
论证,动,to prove a point/to expound on/to demonstrate or prove (through argument)
论证,名,proof
啰唆,形,long-winded; wordy/troublesome; pesky
啰唆,动,to talk endlessly; to go on and on
麻痹,动,to benumb/(fig.) to lull
麻痹,形,negligent/apathetic
麻痹,名,paralysis/palsy/numbness
满怀,动,to have one's heart filled with
满怀,副,(to collide) full on
满怀,形,(of farm animals) heavy with young
没劲,动,to have no strength/to feel weak
没劲,形,exhausted/feeling listless/boring/of no interest
萌芽,动,(of a seed) to germinate/(of a plant) to sprout; to bud
萌芽,名,sprout; bud/(also used figuratively)
迷惑,动,to puzzle/to confuse/to baffle
名誉,名,fame/reputation/honor
名誉,形,honorary/emeritus (of retired professor)
摩擦,名,friction/rubbing/chafing/fig. disharmony/conflict/also written 磨擦
模范,名,model/fine example
抹,动,to smear/to wipe/to erase
抹,量,"classifier for wisps of cloud, light-beams etc"
默契,形,connected at a deep level with each other/(of team members) well coordinated/tight
默契,名,tacit understanding/mutual understanding/rapport
难怪,动,(it's) not surprising (that)
难怪,副,(it's) no wonder (that...)
难堪,形,hard to take/embarrassed
内行,形,expert/adept/experienced
内行,名,an expert/a professional
能耐,名,ability/capability
尿,名,urine
尿,动,to urinate
叛逆,动,to rebel/to revolt
叛逆,名,a rebel
配方,动,"completing the square (to solve quadratic equation, math.)"
配方,名,prescription/cooking recipe/formulation
偏,形,oblique/prejudiced
偏,动,to lean/to slant/to deviate from average/to stray from the intended line
偏,副,stubbornly/contrary to expectations
偏向,名,erroneous tendencies (Leftist or Revisionist deviation)
偏向,动,partial towards sth/to prefer/to incline
撇,动,to throw/to cast
撇,名,left-slanting downward brush stroke (calligraphy)
品味,动,to sample; to taste/to appreciate
品味,名,"one's taste (i.e. in music, literature, fashion, food and drink etc); good taste"
平价,动,to keep prices down
平价,名,(currency exchange) parity
平价,形,reasonably priced/inexpensive
评审,动,to appraise/to evaluate/to judge
平行,形,"parallel (in a spatial or geometric sense, or figuratively)/on an equal footing; on the same level/simultaneous; concurrent"
谱,名,chart/list/table/register/score (music)/spectrum (physics)
谱,动,to set to music
漆,名,paint/lacquer
漆,动,"to paint (furniture, walls etc)"
企图,动,to attempt/to try
企图,名,attempt
气派,名,imposing manner/dignified air
气派,形,impressive/stylish/magnificent
欠缺,动,to be deficient in
欠缺,名,lapse/deficiency
亲近,形,intimate
亲近,动,to get close to
亲热,形,affectionate; intimate; warmhearted
亲热,动,to show affection for/(coll.) to get intimate with sb
情愿,动,willingness
情愿,副,would rather (agree to X than Y)
拳,名,fist/boxing
权威,名,authority/power and prestige
权威,形,authoritative
劝告,动,to advise/to urge/to exhort
劝告,名,exhortation/advice
缺失,名,lack; deficiency/shortcoming; flaw; defect
缺失,动,to be deficient; to lack
绕远儿,动,to go the long way round/to take a circuitous route
绕远儿,形,(of a route) circuitous
人道,名,"human sympathy/humanitarianism/the ""human way"", one of the stages in the cycle of reincarnation (Buddhism)/sexual intercourse"
人道,形,humane
任,动,to assign/to appoint/to take up a post/to let/to allow/to give free rein to
任,连,"no matter (how, what etc)"
任,名,office/responsibility
任,量,"classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)"
任意,副,at will/at random
任意,形,any/arbitrary
如意,动,as one wants; according to one's wishes
如意,名,"ruyi scepter, a symbol of power and good fortune"
润,动,"to moisten; to lubricate/to embellish; to enhance/(neologism c. 2021) (slang) (loanword from ""run"") to emigrate (in order to flee adverse conditions)"
润,形,moist; glossy; sleek
润,名,profit; remuneration
赛车,名,auto race/cycle race/race car
三维,形,three-dimensional/3D
山寨,名,fortified hill village/mountain stronghold (esp. of bandits)/(fig.) knockoff (goods)
山寨,形,counterfeit/imitation
尚,副,still/yet
尚,动,to value/to esteem
上任,动,to take office
上任,名,predecessor/previous (incumbent)
奢望,动,to have excessive expectations
奢望,名,an extravagant hope
深情,名,deep emotion; deep feeling; deep love
深情,形,affectionate; loving
神气,名,expression/manner
神气,形,vigorous/impressive/lofty/pretentious
声明,动,to state/to declare
声明,名,statement/declaration
失落,动,to lose (sth)/to drop (sth)/to feel a sense of loss
失落,形,frustrated
失落,名,disappointment/loss
试点,动,to carry out trial
试点,名,test point/pilot scheme
疏散,形,scattered; sparse
疏散,动,to scatter; to disperse; to evacuate
疏远,动,to drift apart/to become estranged/to alienate
疏远,名,estrangement
舒展,动,to roll out/to extend/to smooth out/to unfold
顺路,副,by the way/while out doing sth else/conveniently
顺手,形,smooth; easy; without difficulty
顺手,副,as an incidental action while doing sth else; while one is at it; in passing
私立,动,to set up illegally
私立,形,"privately-run; private (school, hospital etc)"
松懈,形,complacent/undisciplined
松懈,动,to relax/to relax efforts/to slack off/to take it easy
俗称,动,commonly referred to as
俗称,名,common term
素,形,"white/plain, unadorned/vegetarian (food)"
素,名,raw silk/essence/nature/element/constituent
素,副,usually/always/ever
诉求,动,to demand; to call for; to petition/to promote one's brand; to appeal to (consumers)
诉求,名,demand; wish; request/(marketing) message; pitch
素食,名,vegetarian food
素食,动,to eat a vegetarian diet
随机,副,according to the situation
随机,形,pragmatic/random
所属,形,belonging to/affiliated
所属,名,one's affiliation (i.e. the organization one is affiliated with)/subordinate (i.e. those subordinate to oneself)/under one's command
胎,量,classifier for litters (of puppies etc)
胎,名,fetus/padding (in clothing or bedding)/womb carrying a fetus/(fig.) origin/source/(loanword) tire
贪,动,to have a voracious desire for/to covet
贪,形,greedy/corrupt
摊,动,to spread out
摊,名,vendor's stand
坦白,形,honest/forthcoming
坦白,动,to confess
坦言,动,to say candidly/to acknowledge frankly
堂,名,(main) hall/large room for a specific purpose/relationship between cousins etc on the paternal side of a family
堂,量,"classifier for classes, lectures etc/classifier for sets of furniture"
堂,前缀,of the same clan
提议,动,to propose/to suggest
提议,名,proposal/suggestion
体面,名,dignity; prestige; face
体面,形,honorable; creditable/(of sb's appearance) presentable; respectable
替补,动,"to replace (a damaged component with a new one, an injured player with a substitute player, full-time workers with casual workers etc)"
替补,名,a substitute/a replacement
天赋,名,gift/innate skill
调和,形,harmonious/blended
调和,动,to mediate; to reconcile/to compromise/to mix; to blend/to season/to placate
调和,名,mediation/seasoning
铁,名,iron (metal)/arms/weapons
铁,形,hard/strong/violent/unshakeable/determined/close/tight (slang)
通报,动,to inform/to notify/to announce
通报,名,circular/bulletin/(scientific) journal
通告,动,to announce; to give notice
通告,名,announcement
同伙,名,colleague/co-conspirator/accomplice
投机,形,congenial; agreeable
投机,动,to speculate; to profiteer
推论,动,to infer
推论,名,inference/corollary/reasoned conclusion
托,动,to hold up in one's hand; to support with one's palm/to ask; to beg; to entrust (variant of 託|托[tuo1])
托,名,"sth serving as a support: a prop, a rest (e.g. arm rest)/(bound form) a shill/torr (unit of pressure)"
外行,形,amateur
外行,名,layman
丸,名,ball/pellet/pill
妄想,动,to attempt vainly
妄想,名,a vain attempt/delusion
威风,名,awe-inspiring bearing; authority; power
威风,形,imposing; impressive; majestic
微微,形,slight/faint/humble
为人,动,to conduct oneself
为人,名,behavior; conduct; personal character
伪装,动,to pretend to be (asleep etc)/to disguise oneself as/(military) to camouflage
伪装,名,pretense/disguise/camouflage
卫星,名,satellite/moon
吻,动,to kiss
吻,名,kiss/mouth
稳固,形,stable/steady/firm
稳固,动,to stabilize
窝,名,nest/pit or hollow on the human body/lair/den/place
窝,动,to harbor or shelter/to hold in check/to bend
窝,量,classifier for litters and broods
污秽,形,(literary) dirty; filthy
污秽,名,(literary) dirt; filth
无辜,形,innocent/not guilty (law)
无辜,名,innocence
无赖,形,rascally/scoundrelly
无赖,名,hoodlum/rascal/rogue
无形,形,incorporeal/virtual/formless/invisible (assets)/intangible
无意,动,to have no intention of (doing sth)
无意,副,inadvertent/accidental
无缘,动,"to have no opportunity/no way (of doing sth)/no chance/no connection/not placed (in a competition)/(in pop lyrics) no chance of love, no place to be together etc"
舞,动,to dance/to wield/to brandish
武装,名,arms/equipment
武装,动,to arm
武装,形,military/armed (forces)
务实,动,to deal with concrete matters
务实,形,pragmatic
稀罕,形,rare; uncommon
稀罕,动,to value as a rarity; to cherish
稀罕,名,rare thing; rarity
夕阳,名,sunset/the setting sun
席,名,woven mat/seat/banquet/place in a democratic assembly
席,量,"classifier for banquets, conversations etc"
喜庆,形,festive
喜庆,名,jubilation
瞎,副,groundlessly/foolishly/to no purpose
瞎,形,blind
下落,名,whereabouts
下落,动,to drop/to fall
闲话,名,casual conversation/chat/gossip
闲话,动,to talk about (whatever comes to mind)
现任,动,to occupy a post currently
现任,形,current (president etc); incumbent
现任,名,"(coll.) current boyfriend (girlfriend, spouse)"
相识,动,to get to know each other
相识,名,acquaintance
效力,动,to serve (in some capacity)
效力,名,effectiveness/positive effect
协定,名,agreement/accord
协定,动,to reach an agreement
泄气,动,to leak (gas)/to be discouraged/to despair/to vent one's anger/(of a tire) to be flat
泄气,形,(disparaging) pathetic
新潮,形,modern/fashionable
新生,形,new/newborn/emerging/nascent
新生,名,rebirth/regeneration/new life/new student
信仰,动,to believe in (a religion)
信仰,名,firm belief/conviction
星级,名,star rating
星级,形,top-class/highly rated
行政,名,administration
行政,形,(attributive) administrative; executive
胸怀,动,to think about/to cherish
胸怀,名,one's bosom (the seat of emotions)/breast
胸怀,形,broad-minded and open
虚,形,empty or unoccupied/diffident or timid/false/humble or modest/(of health) weak/virtual
虚,副,in vain
虚,名,emptiness/void/abstract theory or guiding principles
虚拟,动,to imagine; to make up/(computing) to emulate
虚拟,形,fictitious; theoretical; hypothetical/(computing) virtual
须知,名,key information/instructions
须知,动,it must be borne in mind
许,动,to allow/to permit/to promise/to praise
许,副,somewhat/perhaps
絮叨,形,long-winded/garrulous
絮叨,动,to talk endlessly without getting to the point
喧哗,动,to make a racket
喧哗,名,hubbub/clamor
喧闹,形,noisy
喧闹,动,to make a noise
宣言,名,declaration/manifesto
压轴,动,opera term: to present the second to last item in a theatrical performance
压轴,名,short for 壓軸子|压轴子
沿途,名,along the sides of the road
沿途,副,by the wayside
掩护,动,to screen/to shield/to cover
掩护,名,protection/cover
演说,动,to deliver a speech
演说,名,speech
野餐,动,to have a picnic
野餐,名,picnic
依,动,to depend on/to comply with or listen to sb
依,介,according to/in the light of
一度,数量,one time/once
一度,副,for a time/at one time
疑虑,名,hesitation/misgivings/doubt
一面,名,one side/one aspect/one's whole face
一面,副,simultaneously... (and...)
一举,名,a move/an action
一举,副,in one move/at a stroke/in one go
一手,名,a skill/mastery of a trade
一手,副,by oneself/without outside help
一头,名,one head/a head full of sth/one end (of a stick)/one side
一头,副,headlong/directly/rapidly/simultaneously
意图,动,to intend
意图,名,intent/intention
一心,副,wholeheartedly/heart and soul
异性,形,of the opposite sex/heterosexual/different in nature
异性,名,the opposite sex
阴谋,动,to conspire; to plot
阴谋,名,a conspiracy; a plot
隐蔽,动,to conceal/to hide
隐蔽,形,covert/under cover
印证,动,to confirm; to corroborate; to verify
印证,名,proof; evidence
应酬,动,to engage in social activities; to socialize
应酬,名,dinner party; banquet; social engagement
踊跃,动,to leap/to jump
踊跃,形,eager
踊跃,副,enthusiastically
油腻,形,(of food) greasy; oily; fatty/(neologism c. 2017) (of a middle-aged man) obnoxious; pretentious; vulgar
油腻,名,greasy food; oily food
油漆,名,oil paints/lacquer
油漆,动,to paint
有意,动,to intend/interested in
有意,副,intentionally
诱惑,动,to entice/to lure/to induce/to attract
余,数,(following numerical value) or more/in excess of (some number)
余,形,extra/remaining
余,名,surplus/remainder after division/residue (math.)/after
余,代,I/me
预感,动,to have a premonition
预感,名,premonition
预告,动,to forecast/to predict
预告,名,advance notice
预见,动,to foresee/to predict/to forecast/to envision
预见,名,foresight/intuition/vision
预赛,动,to hold preliminary heats
预赛,名,preliminary competition
预言,动,to predict
预言,名,prophecy
预兆,名,omen/sign (of sth yet to occur)/prior indication
预兆,动,to foreshadow
冤,名,injustice/grievance/wrong
冤枉,形,wronged/not worthwhile
冤枉,动,to accuse wrongly/to treat unjustly
冤枉,名,injustice
怨恨,动,to resent/to harbor a grudge against/to loathe
